sub_category,main_category
ست ماوس و کیبورد,کالای دیجیتال
تجهیزات فیبر نوری,کالای دیجیتال
دوربین عکاسی,کالای دیجیتال
آداپتور شبکه,کالای دیجیتال
درایو نوری,کالای دیجیتال
دانگل بلوتوث,کالای دیجیتال
ست گیمینگ,کالای دیجیتال
لوازم جانبی ساعت هوشمند,کالای دیجیتال
اسکنر اثر انگشت,کالای دیجیتال
سایر قطعات داخلی کامپیوتر,کالای دیجیتال
فرمان ماشین بازی,کالای دیجیتال
سایر لوازم جانبی کامپیوتر و لپ تاپ,کالای دیجیتال
مانیتور و لوازم جانبی,کالای دیجیتال
کیبورد,کالای دیجیتال
آنتن گوشی و تبلت,کالای دیجیتال
دوربین گوشی و تبلت,کالای دیجیتال
ضبط کننده و پکیج سیستم های امنیتی,کالای دیجیتال
کابل و اتصالات گوشی و تبلت,کالای دیجیتال
کارت حافظه,کالای دیجیتال
دیسپنسر و دستگاه ضد عفونی کننده,کالای دیجیتال
سایر قطعات و لوازم یدکی موبایل و تبلت,کالای دیجیتال
توسعه دهنده محدوده بی سیم,کالای دیجیتال
لوازم تعمیرات موبایل تبلت,کالای دیجیتال
CD و DVD خام,کالای دیجیتال
دوربین شکاری و دو چشمی,کالای دیجیتال
دستگاه کپی,کالای دیجیتال
PDA و دیتا کالکتور,کالای دیجیتال
کارت گرافیک,کالای دیجیتال
سینمای خانگی,کالای دیجیتال
ماوس پد,کالای دیجیتال
دانگل کارت شبکه (Wifi),کالای دیجیتال
ماوس,کالای دیجیتال
لوازم جانبی تلویزیون,کالای دیجیتال
جک و کانکتور هدفون,کالای دیجیتال
کاغذ خردکن و لوازم جانبی,کالای دیجیتال
دکمه پاور گوشی و تبلت,کالای دیجیتال
پخش کننده تصویری,کالای دیجیتال
مچ بند هوشمند,کالای دیجیتال
سایر لوازم الکتریکی همراه,کالای دیجیتال
پایه نگهدارنده گوشی و تبلت,کالای دیجیتال
پخش کننده MP3 و MP4,کالای دیجیتال
پچ پنل,کالای دیجیتال
لوازم جانبی پاوربانک,کالای دیجیتال
پاوربانک,کالای دیجیتال
برچسب و کاور کنسول,کالای دیجیتال
رک شبکه و لوازم جانبی,کالای دیجیتال
کنسول بازی,کالای دیجیتال
دزدگیر اماکن و لوازم جانبی,کالای دیجیتال
تلویزیون,کالای دیجیتال
کابل رابط,کالای دیجیتال
ویدیو پروژکتور و تجهیزات ویدیو کنفرانس,کالای دیجیتال
رادیو و گرامافون,کالای دیجیتال
فن و پنکه USB و شارژی,کالای دیجیتال
قاب، شاسی و درب گوشی,کالای دیجیتال
سایر کابل و تبدیل,کالای دیجیتال
ترازو فروشگاهی,کالای دیجیتال
شارژر موبایل و تبلت,کالای دیجیتال
سایر تجهیزات شبکه و ارتباطات,کالای دیجیتال
کارت صدا,کالای دیجیتال
سایر تجهیزات فروشگاهی,کالای دیجیتال
قلم نوری و لوازم جانبی,کالای دیجیتال
ویبره گوشی,کالای دیجیتال
روتر و اکسس پوینت,کالای دیجیتال
فلت گوشی,کالای دیجیتال
وبکم,کالای دیجیتال
برچسب و استیکر موبایل و لپ تاپ,کالای دیجیتال
تلسکوپ,کالای دیجیتال
برد گوشی,کالای دیجیتال
لوازم جانبی کارت خوان و صندوق فروشگاهی,کالای دیجیتال
آی سی گوشی و تبلت,کالای دیجیتال
میکروفن گوشی و تبلت,کالای دیجیتال
باتری,کالای دیجیتال
کیس های اسمبل شده,کالای دیجیتال
لپ تاپ و نوت بوک,کالای دیجیتال
تجهیزات ویپ,کالای دیجیتال
جک و سوکت گوشی و تبلت,کالای دیجیتال
بازر و بلندگو گوشی و تبلت,کالای دیجیتال
آیفون درب بازکن و لوازم جانبی,کالای دیجیتال
رول کاغذ,کالای دیجیتال
هارد و SSD,کالای دیجیتال
هاب سوییچ,کالای دیجیتال
سیم کارت و لوازم جانبی,کالای دیجیتال
تجهیزات RFID,کالای دیجیتال
گیرنده دیجیتال,کالای دیجیتال
خنک کننده و فن,کالای دیجیتال
کیت تمیز کننده,کالای دیجیتال
ماشین حساب,کالای دیجیتال
کابل شبکه,کالای دیجیتال
دامنه و میزبانی وب,کالای دیجیتال
کیف و کاور لپ تاپ,کالای دیجیتال
کامپیوترهای All-in-One,کالای دیجیتال
لوازم جانبی سیستم های نظارتی و امنیتی,کالای دیجیتال
دانگل HDMI,کالای دیجیتال
تجهیزات ماینینگ,کالای دیجیتال
دستگاه کنترل تردد,کالای دیجیتال
قلم لمسی,کالای دیجیتال
اسکنر سه بعدی,کالای دیجیتال
UTM و فایروال,کالای دیجیتال
سایر لوازم جانبی موبایل و تبلت,کالای دیجیتال
پردازنده,کالای دیجیتال
سیستم صوتی خانگی,کالای دیجیتال
مبدل و آداپتور,کالای دیجیتال
تجهیزات اسکناس، چک و خودپرداز,کالای دیجیتال
پلاتر و لوازم جانبی,کالای دیجیتال
سوییچ و اسپلیتر,کالای دیجیتال
تجهیزات بازی موبایل,کالای دیجیتال
گلس تعمیراتی گوشی و تبلت,کالای دیجیتال
کیف و کاور موبایل و تبلت,کالای دیجیتال
تجهیزات استودیویی,کالای دیجیتال
سانترال و لوازم جانبی,کالای دیجیتال
صندوق فروشگاهی,کالای دیجیتال
کارت خوان و رم ریدر,کالای دیجیتال
لوازم جانبی هدفون و هدست,کالای دیجیتال
بازی رایانه و کنسول,کالای دیجیتال
اسکنر,کالای دیجیتال
گام شمار,کالای دیجیتال
بیسیم و لوازم جانبی,کالای دیجیتال
ساعت هوشمند,کالای دیجیتال
ابزار شبکه,کالای دیجیتال
فلش مموری,کالای دیجیتال
پنل خورشیدی و تجهیزات,کالای دیجیتال
بارکد خوان و لوازم جانبی,کالای دیجیتال
ابزار بسته بندی,خدمات کسب و کار
عکاسی,خدمات کسب و کار
طراحی و چاپ عکس,خدمات کسب و کار
خدمات حمل و نقل و اسباب کشی,خدمات کسب و کار
کلوچه و نان شیرینی,مواد غذایی
عسل,مواد غذایی
نوشابه و ماء الشعير,مواد غذایی
آب معدنی,مواد غذایی
بادام هندی,مواد غذایی
سرکه,مواد غذایی
روغن‌های خوراکی,مواد غذایی
آبمیوه و شربت,مواد غذایی
فرآورده های عسل,مواد غذایی
فندق,مواد غذایی
آلو خشک,مواد غذایی
شیرینی,مواد غذایی
تنقلات,مواد غذایی
قهوه,مواد غذایی
گز,مواد غذایی
برنج,مواد غذایی
غلات,مواد غذایی
کشمش ، نخودچی و مویز,مواد غذایی
دمنوش,مواد غذایی
زرشک,مواد غذایی
سوهان,مواد غذایی
آبلیمو,مواد غذایی
ماکارونی پاستا و رشته,مواد غذایی
محصولات کافئین دار,مواد غذایی
چای,مواد غذایی
میوه خشک,مواد غذایی
روغنهای خوراکی,مواد غذایی
زعفران,مواد غذایی
نوشیدنی انرژی زا,مواد غذایی
سویق و پودر جوانه,مواد غذایی
ادویه,مواد غذایی
قند و شکر,مواد غذایی
نبات,مواد غذایی
سنجد,مواد غذایی
بادام درختی,مواد غذایی
بادام زمینی,مواد غذایی
کیک,مواد غذایی
آرد,مواد غذایی
حلوا,مواد غذایی
آجیل,مواد غذایی
نان,مواد غذایی
گردو,مواد غذایی
گرده گل,مواد غذایی
بره موم,مواد غذایی
ترشک و لواشک,مواد غذایی
دسر,مواد غذایی
رب ها,مواد غذایی
شکلات و آبنبات,مواد غذایی
عرقیات,مواد غذایی
حبوبات و سویا,مواد غذایی
سس,مواد غذایی
بسته,مواد غذایی
نشاسته,مواد غذایی
سبزی خشک,مواد غذایی
تخمه,مواد غذایی
خلالها,مواد غذایی
خرما,مواد غذایی
آبغوره,مواد غذایی
پالتو و کاپشن مردانه,مد و پوشاک
ساعت مردانه,مد و پوشاک
ساعت دخترانه,مد و پوشاک
لباس زیر مردانه,مد و پوشاک
کفش و پاپوش نوزادی,مد و پوشاک
جوراب پسرانه,مد و پوشاک
لباس زیر زنانه,مد و پوشاک
ست نوزادی,مد و پوشاک
زیورآلات مردانه,مد و پوشاک
تاپ،تیشرت و شلوارک دخترانه,مد و پوشاک
کیف مردانه,مد و پوشاک
کیف زنانه,مد و پوشاک
جوراب و جوراب شلواری دخترانه,مد و پوشاک
عینک زنانه,مد و پوشاک
سویشرت ، هودی و ژاکت مردانه,مد و پوشاک
تیشرت و پولوشرت مردانه,مد و پوشاک
کت و ست رسمی زنانه,مد و پوشاک
کفش و دمپایی زنانه,مد و پوشاک
بلوز،پیراهن و سارافون دخترانه,مد و پوشاک
شلوار،شلوارک و سرهمی پسرانه,مد و پوشاک
تاپ و تیشرت زنانه,مد و پوشاک
بلوز، پیراهن و تیشرت پسرانه,مد و پوشاک
لباس زیر نوزاد,مد و پوشاک
بلوز و پیراهن مردانه,مد و پوشاک
زیورآلات دخترانه,مد و پوشاک
کلاه شالگردن و دستکش دخترانه,مد و پوشاک
لباس بارداری,مد و پوشاک
شال و روسری زنانه,مد و پوشاک
بلوز، پیراهن و شومیز زنانه,مد و پوشاک
بلوز،پیراهن نوزادی,مد و پوشاک
شلوار و سرهمی زنانه,مد و پوشاک
اکسسوری و ساعت پسرانه,مد و پوشاک
پالتو و کاپشن دخترانه,مد و پوشاک
کلاه، شالگردن و دستکش زنانه,مد و پوشاک
لباس زیر دخترانه,مد و پوشاک
بلوز،پیراهن و تیشرت پسرانه,مد و پوشاک
اکسسوری دخترانه,مد و پوشاک
بلوز، پیراهن و سارافون دخترانه,مد و پوشاک
لباس ست دخترانه,مد و پوشاک
پالتو بارانی و کاپشن زنانه,مد و پوشاک
جوراب، ساق و ساپورت زنانه,مد و پوشاک
چادر و پوشش اسلامی,مد و پوشاک
شال و روسری دخترانه,مد و پوشاک
عینک مردانه,مد و پوشاک
دامن زنانه,مد و پوشاک
شلوار و شلوارک مردانه,مد و پوشاک
کفش و دمپایی پسرانه,مد و پوشاک
لباس ست پسرانه,مد و پوشاک
بلوز،پیراهن و شومیز زنانه,مد و پوشاک
کیف دخترانه,مد و پوشاک
کفش، دمپایی مردانه,مد و پوشاک
دامن دخترانه,مد و پوشاک
جوراب ساق و ساپورت زنانه,مد و پوشاک
مانتو و تونیک,مد و پوشاک
سویشرت هودی و ژاکت زنانه,مد و پوشاک
سویشرت هودی و ژاکت دخترانه,مد و پوشاک
کلاه شالگردن و دستکش پسرانه,مد و پوشاک
جوراب مردانه,مد و پوشاک
کفش دمپایی مردانه,مد و پوشاک
کفش و دمپایی دخترانه,مد و پوشاک
ساعت زنانه,مد و پوشاک
زیورآلات زنانه,مد و پوشاک
اکسسوری زنانه,مد و پوشاک
اکسسوری نوزادی,مد و پوشاک
سویشرت هودی و ژاکت پسرانه,مد و پوشاک
لباس راحتی مردانه,مد و پوشاک
کت و شلوار و جلیقه مردانه,مد و پوشاک
لباس راحتی و خواب زنانه,مد و پوشاک
کاپشن ، کت و جلیقه پسرانه,مد و پوشاک
شلوار و سرهمی دخترانه,مد و پوشاک
لباس زیر پسرانه,مد و پوشاک
کیف پسرانه,مد و پوشاک
کلاه شالگردن و دستکش مردانه,مد و پوشاک
شلوار و سرهمی نوزادی,مد و پوشاک
دستگاه بخور,سلامت درمان و طب
روغن های درمانی,سلامت درمان و طب
لوازم خواب طبی,سلامت درمان و طب
داروهای گیاهی,سلامت درمان و طب
ماساژور,سلامت درمان و طب
ابزارهای پزشکی,سلامت درمان و طب
کیسه آب گرم و سرد,سلامت درمان و طب
لوازم شخصی کودک,سلامت درمان و طب
ماسک و شیلد صورت,سلامت درمان و طب
بهداشت و حمام کودک,سلامت درمان و طب
کمک های اولیه,سلامت درمان و طب
ابزار توانبخشی,سلامت درمان و طب
گیاهان دارویی,سلامت درمان و طب
محافظ طبی,سلامت درمان و طب
لوازم گردش و سفر کودک,سلامت درمان و طب
غذاخوری کودک,سلامت درمان و طب
سوخت روی چوب,صنایع دستی
مجسمه,صنایع دستی
لوازم شمع سازی,صنایع دستی
قلم کاری,صنایع دستی
محصولات حصیری,صنایع دستی
دکوراتیو سفالی و سرامیکی,صنایع دستی
محصولات برنجی,صنایع دستی
محصولات بافتنی,صنایع دستی
سنگ های قیمتی,صنایع دستی
گلدوزی,صنایع دستی
ظروف مسی,صنایع دستی
محصولات ویترای,صنایع دستی
کارت پستال,صنایع دستی
ظروف پخت و پز مسی,صنایع دستی
گیفت,صنایع دستی
منبت کاری,صنایع دستی
لوازم خیاطی,صنایع دستی
کفش چرم دست دوز,صنایع دستی
جعبه هدیه,صنایع دستی
منجوق بافی,صنایع دستی
شماره دوزی,صنایع دستی
میلیله کاری,صنایع دستی
ابزار گلدوزی,صنایع دستی
قاب دست ساز,صنایع دستی
دکوراتیو مسی,صنایع دستی
محصولات خراطی,صنایع دستی
ملیله دوزی,صنایع دستی
حکاکی و نقاشی روی سنگ,صنایع دستی
ترمه,صنایع دستی
سوزن دوزی,صنایع دستی
کیف چرم دست دوز,صنایع دستی
نگارگری,صنایع دستی
محصولات قلم زنی,صنایع دستی
لوازم رزین و ویترای,صنایع دستی
ابزار بافتنی,صنایع دستی
ظروف سرامیکی,صنایع دستی
محصولات شیشه گری,صنایع دستی
ابزار چرم دوزی,صنایع دستی
ابزار شماره دوزی,صنایع دستی
محصولات رزینی,صنایع دستی
معرق کاری,صنایع دستی
کاشی و سرامیک,صنایع دستی
ابزار مینا کاری,صنایع دستی
اکسسوری چرم دست دوز,صنایع دستی
مینا کاری,صنایع دستی
خاتم کاری,صنایع دستی
کاغذ و پاکت کادو,صنایع دستی
محصولات برنزی,صنایع دستی
نقاشی و تابلو,صنایع دستی
خوشنویسی,صنایع دستی
محصولات استخوانی,صنایع دستی
فیروزه کوبی,صنایع دستی
مکرومه بافی,صنایع دستی
میز و صندلی مسافرتی,ورزش و سفر
کیف و کوله ورزشی,ورزش و سفر
چمدان,ورزش و سفر
تجهیزات ورزش های آبی,ورزش و سفر
تجهیزات کمپینگ و کوهنوردی,ورزش و سفر
دستگاه های ورزشی,ورزش و سفر
تجهیزات کفش,ورزش و سفر
دوچرخه و تجهیزات دوچرخه,ورزش و سفر
تجهیزات هوازی و تناسب اندام,ورزش و سفر
لباس ورزشی مردانه و پسرانه,ورزش و سفر
کالای خواب مسافرتی,ورزش و سفر
لباس ورزشی زنانه و دخترانه,ورزش و سفر
تجهیزات ورزش های توپی,ورزش و سفر
تجهیزات پخت و پز مسافرتی,ورزش و سفر
اکسسوری ورزشی,ورزش و سفر
ساک,ورزش و سفر
مکمل ورزشی,ورزش و سفر
لوازم بهداشتی مسافرتی,ورزش و سفر
کفش ورزشی,ورزش و سفر
مربا,مواد غذایی
دوغ,مواد غذایی
خیارشور و شور,مواد غذایی
ارده,خانه و آشپزخانه
پسته,مواد غذایی
میوه تازه,مواد غذایی
آماده طبخ,مواد غذایی
شیره,مواد غذایی
تخم سایر طیور,مواد غذایی
ماکارونی، پاستا و رشته,مواد غذایی
پنیر,مواد غذایی
زیتون,مواد غذایی
گوشت قرمز,مواد غذایی
کنجد,مواد غذایی
کره مغز ها,مواد غذایی
شیر,مواد غذایی
گوشت آبزیان,مواد غذایی
گوشت مرغ و طیور,مواد غذایی
کشک و قره قوروت,مواد غذایی
نوشابه و ماء الشعیر,مواد غذایی
پنیر پخت و پزسوسیس و کالباس,مواد غذایی
ماست,مواد غذایی
حلوا ارده و شکری,مواد غذایی
کره,مواد غذایی
کمپوت,مواد غذایی
غذای کودک,مواد غذایی
طبخ شده,مواد غذایی
خامه و سرشیر,مواد غذایی
سویشرت، هودی و ژاکت زنانه,مد و پوشاک
کلاه، شالگردن و دستکش مردانه,مد و پوشاک
سویشرت، هودی و ژاکت پسرانه,مد و پوشاک
شلوار، شلوارک و سرهمی پسرانه,مد و پوشاک
بلوز، پیراهن نوزادی,مد و پوشاک
پالتو، بارانی و کاپشن زنانه,مد و پوشاک
تاپ، تیشرت و شلوارک دخترانه,مد و پوشاک
اکسسوری مردانه,مد و پوشاک
کلاه، شالگردن و دستکش دخترانه,مد و پوشاک
کلاه، شالگردن و دستکش پسرانه,مد و پوشاک
سویشرت، هودی و ژاکت دخترانه,مد و پوشاک
شوینده ظروف,خانه و آشپزخانه
لوازم دستشویی,خانه و آشپزخانه
ملزومات فرش و موکت,خانه و آشپزخانه
خاک، کود و آفت کش,خانه و آشپزخانه
خواب و قفس حیوانات,خانه و آشپزخانه
غذای ماهی و میگو,خانه و آشپزخانه
جاروبرقی، جاروشارژی و بخارشوی,خانه و آشپزخانه
تابلو فرش,خانه و آشپزخانه
ریسه,خانه و آشپزخانه
همزن و گوشکوب برقی,خانه و آشپزخانه
تجهیزات آبزیان,خانه و آشپزخانه
آباژور,خانه و آشپزخانه
قاشق، چنگال و کارد,خانه و آشپزخانه
لوستر,خانه و آشپزخانه
پادری، روفرشی و پشتی,خانه و آشپزخانه
گلدان,خانه و آشپزخانه
چراغ خواب,خانه و آشپزخانه
جاجیم و گبه,خانه و آشپزخانه
ملحفه و روبالشی,خانه و آشپزخانه
سطل، سبد و آبکش,خانه و آشپزخانه
حوله و کلاه حمام,خانه و آشپزخانه
پنکه,خانه و آشپزخانه
پارچ، لیوان و بطری,خانه و آشپزخانه
میوه خشک کن,خانه و آشپزخانه
اسباب بازی و اکسسوری حیوانات,خانه و آشپزخانه
شوینده لباس,خانه و آشپزخانه
شستشو و مراقبت حیوانات,خانه و آشپزخانه
خوشبوکننده و عود,خانه و آشپزخانه
غذای سگ,خانه و آشپزخانه
تجهیزات جانبی نور و روشنایی,خانه و آشپزخانه
فرش ماشینی,خانه و آشپزخانه
گلیم و قالیچه,خانه و آشپزخانه
مایع دستشویی,خانه و آشپزخانه
چراغ مطالعه,خانه و آشپزخانه
باکس گل و هدیه,خانه و آشپزخانه
شوینده سطوح,خانه و آشپزخانه
موکت,خانه و آشپزخانه
فرش مدرن,خانه و آشپزخانه
غذای گربه,خانه و آشپزخانه
خردکن و غذاساز,خانه و آشپزخانه
استیکر و مگنت,خانه و آشپزخانه
ظروف سفالی,خانه و آشپزخانه
ترشی,مواد غذایی
خلال‌ها,مواد غذایی
پنیر پخت و پز,مواد غذایی
کنسرو,مواد غذایی
سوسیس و کالباس,صنایع دستی
تریکو بافی,صنایع دستی
ملیله کاری,صنایع دستی
تذهیب,سلامت درمان و طب
ابزار های پزشکی,سلامت درمان و طب
روغن‌های پوست و مو,سلامت درمان و طب
پد و نوار بهداشتی,آرایشی و بهداشتی
ساز های زهی و آرشه ای,فرهنگی اموزشی و سرگرمی
لوازم اداری,فرهنگی اموزشی و سرگرمی
ساز های بادی,فرهنگی اموزشی و سرگرمی
ساز های کوبه ای,فرهنگی اموزشی و سرگرمی
ساز های کلیددار و الکترونیک,فرهنگی اموزشی و سرگرمی
مجموعه پک نرم افزاری,فرهنگی اموزشی و سرگرمی
هدفون، هدست و هندزفری,کالای دیجیتال
دوربین‌های نظارتی و امنیتی,کالای دیجیتال
خنک‌ کننده و فن,کالای دیجیتال
لوازم جانبی سیستم‌های نظارتی و امنیتی,کالای دیجیتال
آیفون (درب بازکن) و لوازم جانبی,کالای دیجیتال
لوازم تعمیرات موبایل، تبلت,کالای دیجیتال
گوشی موبایل,کالای دیجیتال
ماشین‌ حساب,کالای دیجیتال
سایر تجهیزات ذخیره‌سازی اطلاعات,کالای دیجیتال
پخش‌کننده MP3 و MP4,کالای دیجیتال
کوئل، شمع و وایر شمع,ابزارآلات و تجهیزات خودرو
شیرآلات,ابزارآلات و تجهیزات خودرو
باتری، دینام و استارت,ابزارآلات و تجهیزات خودرو
جک خودرو,ابزارآلات و تجهیزات خودرو
کابینت,ابزارآلات و تجهیزات خودرو
سوهان، سنباده و سنبه,ابزارآلات و تجهیزات خودرو
قیچی‌، چاقو و ابزار باغبانی,ابزارآلات و تجهیزات خودرو
تبر، بیل و کلنگ,ابزارآلات و تجهیزات خودرو
ضدیخ و آب رادیاتور,ابزارآلات و تجهیزات خودرو
طلق موتور,ابزارآلات و تجهیزات خودرو
پلوس، سرپلوس و مشعلی,خانه و آشپزخانه
دستگاه تقطیر و گلاب گیر,خانه و آشپزخانه
ضد عفونی کننده,خانه و آشپزخانه
فرش دستباف,خانه و آشپزخانه
آرام پز، بخارپز و پلوپز,خانه و آشپزخانه
بخاری و گرمایشی,خانه و آشپزخانه
مایکروفر و سولاردوم,فرهنگی اموزشی و سرگرمی
ترجمه,کالای دیجیتال
کیس کامپیوتر,کالای دیجیتال
روتر و اکسس‌ پوینت,کالای دیجیتال
حافظه و ذخیره‌ساز تحت شبکه,کالای دیجیتال
کارت خوان و صندوق فروشگاهی,کالای دیجیتال
ضبط کننده و پکیج سیستم‌های امنیتی,کالای دیجیتال
ضبط‌کننده صدا,کالای دیجیتال
کارت هدیه الکترونیکی,کالای دیجیتال
همبرگر و کباب لقمه,مواد غذایی
تخم مرغ,مواد غذایی
سنسور اثر انگشت گوشی,کالای دیجیتال
مرصع کاری,فرهنگی اموزشی و سرگرمی
هاب USB,کالای دیجیتال
دیسپنسر و دستگاه ضدعفونی کننده,سلامت، درمان و طب
